name	resistance	class_includes_CIA_res	resistance_genes_present	genes	Strain_count_of_AMR_gene_classes	Strain_MDR_status	Strain_CIA_status	Strain_count_of_AMR_genes
SRR7724758	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	6
SRR7724758	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I	5	1	1	6
SRR7724758	Sulfonamide	FALSE	1	sul1,sul2	5	1	1	6
SRR7724758	Trimethoprim	FALSE	1	dfrA17	5	1	1	6
SRR7724758	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	5	1	1	6
SRR7724801	ESBL_(AmpC_type)	TRUE	1	blaCMY-2	5	1	1	6
SRR7724801	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	6
SRR7724801	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I	5	1	1	6
SRR7724801	Sulfonamide	FALSE	1	sul1,sul2	5	1	1	6
SRR7724801	Trimethoprim	FALSE	1	dfrA17	5	1	1	6
SRR7724801	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	5	1	1	6
AusGEM_01161	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	1	0	0	2
AusGEM_01161	Efflux	FALSE	1	acrF*,mdtM*	1	0	0	2
TEA_E5939	Efflux	FALSE	1	acrF*,mdtM*	0	0	0	1
AusGEM_01611	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01611	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01611	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01611	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01611	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01611	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01611	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01596	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01596	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01596	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01596	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01596	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01596	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01596	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01604	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01604	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01604	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01604	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01604	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01604	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01604	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01592	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01592	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01592	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01592	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01592	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01592	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01592	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01599	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01599	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01599	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01599	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01599	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01599	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01599	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01601	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	5	1	1	6
AusGEM_01601	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	6
AusGEM_01601	Quinolone	TRUE	1	qnrS1	5	1	1	6
AusGEM_01601	Sulfonamide	FALSE	1	sul1,sul2	5	1	1	6
AusGEM_01601	Trimethoprim	FALSE	1	dfrA1,dfrA14	5	1	1	6
AusGEM_01601	Streptomycin	FALSE	1	aadA1,aph(3'')-Ib*,aph(6)-Id	5	1	1	6
AusGEM_01610	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01610	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01610	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01610	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01610	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01610	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01610	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01595	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01595	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01595	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01595	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01595	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01595	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01595	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01586	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01586	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01586	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01586	Tetracycline	FALSE	1	tet(A)*,tet(C)	6	1	1	7
AusGEM_01586	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01586	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01586	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01587	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01587	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01587	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01587	Tetracycline	FALSE	1	tet(A)*,tet(C)	6	1	1	7
AusGEM_01587	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01587	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01587	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01584	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01584	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01584	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01584	Tetracycline	FALSE	1	tet(A)*,tet(C)	6	1	1	7
AusGEM_01584	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01584	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01584	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01585	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01585	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01585	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01585	Tetracycline	FALSE	1	tet(A)*,tet(C)	6	1	1	7
AusGEM_01585	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01585	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01585	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01612	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01612	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01612	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01612	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01612	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01612	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01612	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01597	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01597	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01597	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01597	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01597	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01597	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01597	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01609	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01609	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01609	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01609	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01609	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01609	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01609	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01606	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01606	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01606	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01606	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01606	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01606	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01606	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01598	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01598	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01598	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01598	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01598	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01598	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01598	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01600	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01600	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01600	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01600	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01600	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01600	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01600	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01589	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	5	1	1	6
AusGEM_01589	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	6
AusGEM_01589	Quinolone	TRUE	1	qnrS1	5	1	1	6
AusGEM_01589	Sulfonamide	FALSE	1	sul2	5	1	1	6
AusGEM_01589	Trimethoprim	FALSE	1	dfrA14	5	1	1	6
AusGEM_01589	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	5	1	1	6
AusGEM_01588	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	5	1	1	6
AusGEM_01588	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	6
AusGEM_01588	Quinolone	TRUE	1	qnrS1	5	1	1	6
AusGEM_01588	Sulfonamide	FALSE	1	sul2	5	1	1	6
AusGEM_01588	Trimethoprim	FALSE	1	dfrA14	5	1	1	6
AusGEM_01588	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	5	1	1	6
AusGEM_01593	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01593	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01593	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01593	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01593	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01593	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01593	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01591	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01591	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01591	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01591	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01591	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01591	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01591	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01583	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01583	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01583	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01583	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01583	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01583	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01583	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01608	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	5	1	1	6
AusGEM_01608	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	6
AusGEM_01608	Quinolone	TRUE	1	qnrS1	5	1	1	6
AusGEM_01608	Sulfonamide	FALSE	1	sul2	5	1	1	6
AusGEM_01608	Trimethoprim	FALSE	1	dfrA14	5	1	1	6
AusGEM_01608	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	5	1	1	6
AusGEM_01594	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	5	1	1	6
AusGEM_01594	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	6
AusGEM_01594	Quinolone	TRUE	1	qnrS1	5	1	1	6
AusGEM_01594	Sulfonamide	FALSE	1	sul2	5	1	1	6
AusGEM_01594	Trimethoprim	FALSE	1	dfrA14	5	1	1	6
AusGEM_01594	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	5	1	1	6
AusGEM_01590	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	5	1	1	6
AusGEM_01590	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	6
AusGEM_01590	Quinolone	TRUE	1	qnrS1	5	1	1	6
AusGEM_01590	Sulfonamide	FALSE	1	sul2	5	1	1	6
AusGEM_01590	Trimethoprim	FALSE	1	dfrA14	5	1	1	6
AusGEM_01590	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	5	1	1	6
AusGEM_01603	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01603	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01603	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01603	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01603	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01603	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01603	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01602	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01602	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01602	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01602	Tetracycline	FALSE	1	tet(A)	6	1	1	7
AusGEM_01602	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01602	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01602	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
AusGEM_01607	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01607	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	7
AusGEM_01607	Quinolone	TRUE	1	qnrS1	6	1	1	7
AusGEM_01607	Tetracycline	FALSE	1	tet(A)*	6	1	1	7
AusGEM_01607	Sulfonamide	FALSE	1	sul2	6	1	1	7
AusGEM_01607	Trimethoprim	FALSE	1	dfrA14	6	1	1	7
AusGEM_01607	Streptomycin	FALSE	1	aph(3'')-Ib*,aph(6)-Id	6	1	1	7
TEA_B1728	Efflux	FALSE	1	acrF*,mdtM*	1	0	0	2
TEA_B1728	Tetracycline	FALSE	1	tet(B)	1	0	0	2
TEA_B250	Efflux	FALSE	1	acrF*,mdtM*	2	0	0	3
TEA_B250	Tetracycline	FALSE	1	tet(A)	2	0	0	3
TEA_B250	Trimethoprim	FALSE	1	dfrA5	2	0	0	3
SRR13735335	Efflux	FALSE	1	acrF*,mdtM*	0	0	0	1
AusGEM_01347	Efflux	FALSE	1	acrF*,mdtM*	3	1	0	4
AusGEM_01347	Sulfonamide	FALSE	1	sul2	3	1	0	4
AusGEM_01347	Trimethoprim	FALSE	1	dfrA14	3	1	0	4
AusGEM_01347	Streptomycin	FALSE	1	aph(6)-Id	3	1	0	4
AusGEM_01220	Efflux	FALSE	1	acrF*,mdtM*	3	1	0	4
AusGEM_01220	Sulfonamide	FALSE	1	sul2	3	1	0	4
AusGEM_01220	Trimethoprim	FALSE	1	dfrA14	3	1	0	4
AusGEM_01220	Streptomycin	FALSE	1	aph(6)-Id	3	1	0	4
TEA_B1927	Efflux	FALSE	1	acrF*,mdtM*	2	0	0	3
TEA_B1927	Tetracycline	FALSE	1	tet(B)*	2	0	0	3
TEA_B1927	Sulfonamide	FALSE	1	sul2	2	0	0	3
SRR14160819	Efflux	FALSE	1	acrF*,mdtM*	0	0	0	1
SRR14160820	Efflux	FALSE	1	acrF*,mdtM*	0	0	0	1
SRR14160872	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	5	1	0	8
SRR14160872	Efflux	FALSE	1	acrF*,mdtM*	5	1	0	8
SRR14160872	Other_antimicrobial	FALSE	1	sat2	5	1	0	8
SRR14160872	Tetracycline	FALSE	1	tet(A)	5	1	0	8
SRR14160872	Sulfonamide	FALSE	1	sul1	5	1	0	8
SRR14160872	Trimethoprim	FALSE	1	dfrA17	5	1	0	8
SRR14160872	Streptomycin	FALSE	1	aadA1,aadA5	5	1	0	8
SRR14160872	Kanamycin	FALSE	1	aph(3')-Ia	5	1	0	8
AusGEM_00912	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	4	1	0	8
AusGEM_00912	Efflux	FALSE	1	acrF*,mdtM*	4	1	0	8
AusGEM_00912	Other_antimicrobial	FALSE	1	bleO*	4	1	0	8
AusGEM_00912	Tetracycline	FALSE	1	tet(A)	4	1	0	8
AusGEM_00912	Trimethoprim	FALSE	1	dfrA5	4	1	0	8
AusGEM_00912	Kanamycin	FALSE	1	aph(3')-Ia	4	1	0	8
AusGEM_00912	Other_aminoglycoside_resistance_(non-RMT)	FALSE	1	aph(4)-Ia	4	1	0	8
AusGEM_00912	Gentamicin/Tobramycin/Apramycin	FALSE	1	aac(3)-IVa	4	1	0	8
SRR13735337	Efflux	FALSE	1	acrF*,mdtM*	0	0	0	1
AusGEM_01966	Efflux	FALSE	1	acrF*,mdtM*	0	0	0	1
AusGEM_01706	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	8
AusGEM_01706	Efflux	FALSE	1	acrF*,mdtM*	7	1	1	8
AusGEM_01706	Quinolone	TRUE	1	qnrS1	7	1	1	8
AusGEM_01706	Tetracycline	FALSE	1	tet(A)*	7	1	1	8
AusGEM_01706	Sulfonamide	FALSE	1	sul3	7	1	1	8
AusGEM_01706	Trimethoprim	FALSE	1	dfrA12	7	1	1	8
AusGEM_01706	Streptomycin	FALSE	1	aadA1,aadA2	7	1	1	8
AusGEM_01706	Chloramphenicol	FALSE	1	cmlA1	7	1	1	8
AusGEM_01011	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	5	1	0	6
AusGEM_01011	Efflux	FALSE	1	acrF*,mdtM*	5	1	0	6
AusGEM_01011	Tetracycline	FALSE	1	tet(A)	5	1	0	6
AusGEM_01011	Sulfonamide	FALSE	1	sul1	5	1	0	6
AusGEM_01011	Trimethoprim	FALSE	1	dfrA5	5	1	0	6
AusGEM_01011	Kanamycin	FALSE	1	aph(3')-Ia	5	1	0	6
AusGEM_00992	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	3	1	0	4
AusGEM_00992	Efflux	FALSE	1	acrF*,mdtM*	3	1	0	4
AusGEM_00992	Sulfonamide	FALSE	1	sul1	3	1	0	4
AusGEM_00992	Trimethoprim	FALSE	1	dfrA5	3	1	0	4
SRR14160850	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	2	0	0	3
SRR14160850	Efflux	FALSE	1	acrF*,mdtM*	2	0	0	3
SRR14160850	Tetracycline	FALSE	1	tet(A),tet(B)	2	0	0	3
TEA_C1_61	Efflux	FALSE	1	mdtM*	0	0	0	1
TEA_A3_64	Efflux	FALSE	1	acrF*,mdtM*	1	0	0	2
TEA_A3_64	Tetracycline	FALSE	1	tet(A)	1	0	0	2
SRR14160895	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	3	1	0	4
SRR14160895	Efflux	FALSE	1	acrF*,mdtM*	3	1	0	4
SRR14160895	Tetracycline	FALSE	1	tet(B)	3	1	0	4
SRR14160895	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	3	1	0	4
AusGEM_00993	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	2	0	0	3
AusGEM_00993	Efflux	FALSE	1	acrF*,mdtM*	2	0	0	3
AusGEM_00993	Trimethoprim	FALSE	1	dfrA5	2	0	0	3
TEA_242_3_Brisbane	Efflux	FALSE	1	acrF*,mdtM*	0	0	0	1
AusGEM_00884	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	9
AusGEM_00884	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	9
AusGEM_00884	Tetracycline	FALSE	1	tet(A)	6	1	1	9
AusGEM_00884	Sulfonamide	FALSE	1	sul2	6	1	1	9
AusGEM_00884	Trimethoprim	FALSE	1	dfrA5	6	1	1	9
AusGEM_00884	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	6	1	1	9
AusGEM_00884	Kanamycin	FALSE	1	aph(3')-IIa	6	1	1	9
AusGEM_00884	Other_aminoglycoside_resistance_(non-RMT)	FALSE	1	aad9*	6	1	1	9
AusGEM_00884	Lincosamides	TRUE	1	lnu(C)*	6	1	1	9
SRR14160844	Efflux	FALSE	1	mdtM*	5	1	0	6
SRR14160844	Tetracycline	FALSE	1	tet(A)*	5	1	0	6
SRR14160844	Sulfonamide	FALSE	1	sul3	5	1	0	6
SRR14160844	Trimethoprim	FALSE	1	dfrA12	5	1	0	6
SRR14160844	Streptomycin	FALSE	1	aadA1*,aadA2	5	1	0	6
SRR14160844	Chloramphenicol	FALSE	1	cmlA1	5	1	0	6
TEA_C4_24	Efflux	FALSE	1	acrF*,mdtM*	1	0	0	2
TEA_C4_24	Tetracycline	FALSE	1	tet(A)	1	0	0	2
TEA_B1503	Efflux	FALSE	1	acrF*,mdtM*	2	0	0	3
TEA_B1503	Tetracycline	FALSE	1	tet(A)	2	0	0	3
TEA_B1503	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	2	0	0	3
TEA_E7553	Efflux	FALSE	1	acrF*,mdtM*	0	0	0	1
TEA_C3_19	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	2	0	0	3
TEA_C3_19	Efflux	FALSE	1	acrF*,mdtM*	2	0	0	3
TEA_C3_19	Tetracycline	FALSE	1	tet(A),tet(B)	2	0	0	3
TEA_6_14_8	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	9
TEA_6_14_8	Efflux	FALSE	1	acrF*,mdtM*	6	1	1	9
TEA_6_14_8	Tetracycline	FALSE	1	tet(B),tet(M)	6	1	1	9
TEA_6_14_8	Sulfonamide	FALSE	1	sul2,sul3	6	1	1	9
TEA_6_14_8	Trimethoprim	FALSE	1	dfrA17	6	1	1	9
TEA_6_14_8	Streptomycin	FALSE	1	aadA2,aadA5	6	1	1	9
TEA_6_14_8	Other_aminoglycoside_resistance_(non-RMT)	FALSE	1	aph(4)-Ia	6	1	1	9
TEA_6_14_8	Gentamicin/Tobramycin/Apramycin	FALSE	1	aac(3)-IVa*	6	1	1	9
TEA_6_14_8	Lincosamides	TRUE	1	lnu(F)	6	1	1	9
ERR5355706	Fosfomycin	FALSE	1	fosA3	5	1	1	9
ERR5355706	Efflux	FALSE	1	acrF*,mdtM*	5	1	1	9
ERR5355706	Other_antimicrobial	FALSE	1	bleO*	5	1	1	9
ERR5355706	Quinolone	TRUE	1	gyrA_S83L,parC_S80I	5	1	1	9
ERR5355706	Tetracycline	FALSE	1	tet(A)*	5	1	1	9
ERR5355706	Sulfonamide	FALSE	1	sul2	5	1	1	9
ERR5355706	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	5	1	1	9
ERR5355706	Kanamycin	FALSE	1	aph(3')-IIa	5	1	1	9
ERR5355706	Chloramphenicol/Florfenicol	FALSE	1	floR*	5	1	1	9
AusGEM_00857	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	0	7
AusGEM_00857	Efflux	FALSE	1	acrF*,mdtM*	6	1	0	7
AusGEM_00857	Tetracycline	FALSE	1	tet(A)	6	1	0	7
AusGEM_00857	Sulfonamide	FALSE	1	sul3	6	1	0	7
AusGEM_00857	Trimethoprim	FALSE	1	dfrA12	6	1	0	7
