sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
AUSMDU00047849:AA977	1	5254	47.601827179291966	d3bad2dc42936bd30916a30217a37466	Col156,rep_cluster_2344	CP001126_00001,CP010239_00040	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP041341	4.76906e-05	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00047849:AA579	1	4175	49.48502994011976	29d88605b24bcd44633719347d38342f	rep_cluster_1778	001198__NC_010486_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ,MOBQ	NC_010672,NC_016036,NC_009791	mobilizable	CP033851	0.0142009	Escherichia coli	AA579	AI799	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00047960:AA282	2	86019	53.31031516292912	2e1cfbe2a29672c2ca0c7332d2a31e60	IncK2/Z	KR905388	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033	MOBP	AB290882	conjugative	CP015141	0.00113443	Escherichia coli	AA282	AI113	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
AUSMDU00047960:AA324	16	164764	52.087834721176954	7036e16d353a1693713aa2b1fee4f141	IncFIA,IncFIB,IncFIA,IncFIC,rep_cluster_2131	AF250878,000095__NZ_CP014273_00094,000136__AP014877_00014,AP001918,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	CP024856	0.00534606	Escherichia coli	AA324	AI219	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00047960:AA579	1	4165	51.6686674669868	33191e7da0f18ed35caa499202969871	rep_cluster_1778	001211__AP017616_00002	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_013327,NC_009791	mobilizable	CP019024	0.00900687	Escherichia coli	AA579	AI802	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00047960:AC748	1	2192	46.715328467153284	8df94400ea1acf12515964435a35376f	Col(BS512)	NC_010656	-	-	-	-	-	-	non-mobilizable	CP030115	0.000143503	Escherichia coli	AC748	AM073	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00047971:AA336	1	71720	50.69297267150028	82b94d0c69c1ced8222ee338a17b0103	IncFIA,IncFIC	MK878891_00042,AP001918	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF,MOBF	CP016713,CP010205	conjugative	CP027536	0.000557238	Escherichia coli	AA336	AI259	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048172:AA176	12	163799	49.78846024701006	5cfa0ded86ce9085b2eb29bb83739970	IncFIA,IncFIC,IncFIB,rep_cluster_2244	MK878891_00042,AY458016,000095__NZ_CP014273_00094,CP033091_00053	MOBF,MOBF,MOBF	CP023471_00010,CP026812_00205,NC_011980_00044	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_008460_00107,NC_013437_00116,08-5333_00200	MOBF	KM107838	conjugative	CP033091	0.00635099	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	AA176	AH856	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
AUSMDU00048172:AA190	3	21720	50.870165745856355	74c1e9422c12fdd9b3e47541e2b0e85b	-	-	-	-	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094	MOBP	AP014804	mobilizable	CP018343	0.026819	Klebsiella pneumoniae	AA190	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048172:AC509	1	6738	48.768180468981896	d186b02257b2053b6fad9a0ce5e35dff	rep_cluster_2350	CP035723_00002	MOBP,MOBP	NC_019076_00002,NC_017321_00002	-	-	MOBP	MF083142	mobilizable	CP012628	4.76906e-05	Escherichia coli	AC509	AL724	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048244:AA747	1	110440	46.20517928286853	fefb3d91a1ed2217fa9ab3e7494713d2	rep_cluster_488	001852__AP017612_00001	-	-	-	-	-	-	non-mobilizable	CP019013	0.015998	Escherichia coli	AA747	AJ079	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048244:AA171	15	123316	52.131110318206886	a4f19e47651b6913f75593b30106c7bc	IncFIA,IncFIA,IncFIB,rep_cluster_2131	AF250878,000136__AP014877_00014,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	08-5333_00200,NC_010719_00097,NC_008460_00107	-	-	conjugative	CP021871	0.0024636	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00048244:AA977	1	5086	47.48328745576091	75814fa7480f772855a2970989a71435	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP018967	0.000631368	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00048244:AB685	1	1640	50.24390243902439	6d77963541269af11cb1f1ea4111c735	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	CP001386,GQ900404	mobilizable	CP015143	0.000312573	Escherichia coli	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AUSMDU00048293:AA352	9	77096	51.21277368475667	3f5b21e377bcd051da67133b8ead8ca6	IncFIA,IncFIC,IncFIB,rep_cluster_2131	000136__AP014877_00014,CP003035,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_Unknown	08-5333_00200	-	-	conjugative	LT985309	0.00199971	Escherichia coli	AA352	AI307	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 25389419; 19482926; 15781495; 20851899; 16257053
AUSMDU00048293:AA576	1	6849	51.3359614542269	ed03b7eba7256a3d59e11db0635cf6de	rep_cluster_2150	CP040267_00002	MOBQ	NZ_AWFJ01000122_00007	-	-	MOBQ,MOBQ	DQ318958,NC_019088	mobilizable	CP035010	9.55247e-05	Shigella sonnei	AA576	AI792	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048293:AC511	1	5244	46.01449275362319	ce687919d43e8365212209009fed86d8	rep_cluster_2350,rep_cluster_2370	CP035723_00002,EU580135_00003	MOBF	CP019897	-	-	MOB_unknown	CP010128	mobilizable	NC_018996	0.000680979	Escherichia coli	AC511	AL729	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048293:AA579	1	4173	49.652528157201054	506eb5630ca02a01760b1269b7ab9395	rep_cluster_1778	001198__NC_010486_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_010672,NC_016036	mobilizable	KT693144	0.00060662	Escherichia coli	AA579	AI799	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048293:AG884	1	2737	36.0979174278407	e46bd169eec58be1649c3ba4119c4361	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0175349	Escherichia coli	AG884	AQ940	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048293:AC748	1	2167	48.54637748038763	0dc45b7b023069add3dc0fdc4cf33a23	-	-	-	-	-	-	-	-	non-mobilizable	HE616531	0.0209501	Shigella sonnei 53G	AC748	AM073	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048360:AC026	2	39179	48.62298680415529	fed9b1b10ea1d0cbb79ed2e2007ece4e	IncI-gamma/K1	KC788405	MOBP	NC_019097	MPF_I	NC_019097_00056	MOBP	JN253636	conjugative	CP034963	0.00302611	Escherichia coli	AC026	AL043	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AUSMDU00048360:AA619	1	33917	41.586814871598314	1952d5ff2fe2d2110a3eb7329660a801	IncX4	000222__CP010880_00038	MOBP	NC_013718_00057	MPF_T	NC_013718_00044,NC_013718_00045,NC_021079_00038,NC_013718_00041	-	-	conjugative	CP035754	0.00028831	Escherichia coli E110019	AA619	AI863	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	26842776; 21911569; 28336940
AUSMDU00048360:AA297	16	111995	51.04245725255592	27fc58605a182e7fc00b43e86f33f14b	IncFIA,IncFIB,rep_cluster_2131	CP022610_00144,000096__NC_019117_00097,CP030770_00142	MOBF	MF535908_00027	MPF_F	NC_022651_00077,NC_010409_00124,NC_007675_00027,NC_013437_00116,NC_019094_00068,NC_019037_00027,NC_017639_00094	MOBF	CP017721	conjugative	CP041539	0.00741321	Escherichia coli	AA297	AI140	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00048360:AA336	5	29492	51.54618201546182	6fd89665746d565f788422780d39d878	-	-	MOBF	NC_011980_00044	-	-	-	-	mobilizable	NC_025177	0.0276006	Escherichia coli	AA336	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048360:AA977	1	3296	49.08980582524272	e250de28f12852160dd066817d793f5e	-	-	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP015144	0.00936594	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048375:AA171	17	111060	51.907077255537544	6c4b0dd007f5be63907ab907e416c8d4	IncFIA,IncFIA,IncFIB,rep_cluster_2131	000136__AP014877_00014,AF250878,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_Unknown	08-5333_00200	-	-	conjugative	CP021871	0.00461146	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00048375:AC511	1	5244	45.76659038901602	2a8197ae184ed8ebe32d279e3abc248c	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown	CP010128	mobilizable	NC_018996	0.000931334	Escherichia coli	AC511	AL729	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048375:AA579	1	4173	49.17325664989217	9b7f0896b5abd7e4d25a3df8091be98d	rep_cluster_1778	001198__NC_010486_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_016036,NC_010672	mobilizable	NC_011411	0.00181236	Escherichia coli SE11	AA579	AI799	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048375:AB685	1	1640	52.073170731707314	00d0776364d10a735b3a17da4a83e7d5	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	CP001386,JN985534	mobilizable	CP003038	0.0110007	Escherichia coli O7:K1 str. CE10	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AUSMDU00048437:AA860	16	214559	52.95000442768656	0cac433bfab6daa064679802465293ce	IncC	000092__CP025470	MOBH,MOBH	NC_012690_00071,NC_012885_00072	MPF_F	NC_023291_00077,NC_012885_00091,NC_016974_00085,NC_012885_00083,NC_014170_00023,NC_009140_00071,NC_012885_00088,NC_012885_00167,NC_008612_00190	MOBH	JQ319772	conjugative	CP024192	0.00869309	Klebsiella pneumoniae	AA860	AJ266	phylum	Pseudomonadota	class	Gammaproteobacteria	phylum	Pseudomonadota	23800906; 20138094; 19482926; 24567731; 28842132; 20851899; 22290972; 19949054
AUSMDU00048437:AA171	7	112133	51.401460765341156	ff10ad54a036106ec9f7a91dfebcf323	IncFIA,IncFIB,IncFII,rep_cluster_2131	000136__AP014877_00014,000096__NC_019117_00097,KF954760,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_019094_00068,NC_008460_00097,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,NC_008460_00107,08-5333_00200	MOBF	NZ_CM001473	conjugative	CP032258	0.00378594	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
AUSMDU00048437:AC509	1	6695	48.603435399551906	4b5396b1396d8389eb5c35f962fd9a88	rep_cluster_2370	CP033698_00001	MOBP	NC_019076_00002	-	-	MOBP	MF083142	mobilizable	CP012628	0.000508006	Escherichia coli	AC509	AL724	order	Enterobacterales	order	Enterobacterales	-	-	-
AUSMDU00048437:AA977	1	5255	47.59276879162702	ed61317b599a99171e2b365d64a67de9	Col156,rep_cluster_2344	CP001126_00001,CP010239_00040	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP034960	0.000167546	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048437:AA673	1	3094	46.7032967032967	0fb9a87a121435b841c7940e12b4e1a9	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown,MOB_unknown	NC_003079,KU932034	mobilizable	LT985294	0.00157453	Escherichia coli	AA673	AI952	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048442:AA171	9	115046	50.89703249135128	73a24ecc55f0de134e0ac6c6833e1264	IncFIA,IncFIC,IncFIB,IncFII,rep_cluster_2131	MK878891_00042,AY458016,000096__NC_019117_00097,KF954760,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_008460_00097,NC_019094_00068,NC_013437_00116,NC_010719_00097,NC_008460_00107,NC_019072_00073	MOBF	NZ_CM001473	conjugative	CP032258	0.00597612	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 25389419; 19482926; 15781495; 20851899; 16257053
AUSMDU00048442:AC314	3	15397	50.763135675780994	7f6527a9b0842f59bd6c4d7f02833456	-	-	-	-	-	-	-	-	non-mobilizable	KJ187751	0.0349268	Klebsiella pneumoniae	AC314	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048442:AA147	1	5722	47.50087382034254	ad0878cc0e8197e1648b653fb935ef60	rep_cluster_2401	CP039864_00003	MOBP	NC_022662_00003	-	-	MOBP	NC_019078	mobilizable	NC_022662	0.000143503	Escherichia coli JJ1886	AA147	AH786	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048442:AA977	1	5255	47.59276879162702	ed61317b599a99171e2b365d64a67de9	Col156,rep_cluster_2344	CP001126_00001,CP010239_00040	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP034960	0.000167546	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048442:AA579	1	4164	51.248799231508166	ff0e667bb98e343b76f480037b271c1c	rep_cluster_1778	001211__AP017616_00002	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_013327,NC_009791	mobilizable	CP018996	7.15897e-05	Escherichia coli	AA579	AI802	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048442:AB692	1	1993	44.2548921224285	1ae3daaf6cfbc22670f1e0e07a8fa2f3	Col(MG828)	NC_008486	-	-	-	-	-	-	non-mobilizable	DQ995351	0.000264084	Escherichia coli	AB692	AK572	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AUSMDU00048703:AA171	7	21984	49.4132096069869	729c3d21344ec8c6e0570b8ea3fa5061	IncFIB	000096__NC_019117_00097	-	-	-	-	-	-	non-mobilizable	AP018457	0.0537328	Escherichia coli O25b:H4-ST131	AA171	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AUSMDU00048703:AA977	1	5278	47.5748389541493	5b3d000ad428895244c85775bff15b65	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP018967	4.76906e-05	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00048703:AA579	1	4198	50.09528346831825	7b1f615f61f8358718f8df32593ccd7c	rep_cluster_1778	001201__CP010878_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_016036,NC_010672	mobilizable	CP010878	9.55247e-05	Escherichia coli	AA579	AI799	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048703:AB685	1	1664	51.74278846153846	d9682e07324c412ea7247e9550b74753	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	NC_002145,GQ900404	mobilizable	CP024465	0.00511931	Klebsiella pneumoniae	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AUSMDU00048767:AA474	6	100245	49.83091426006285	d84177530bd6f2f56df6ab14587911c1	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	HM021326	conjugative	CP023385	0.0133547	Escherichia coli	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AUSMDU00048767:AA337	6	110442	50.90454718313685	c962b511d98b2e12ec0d1bc610ce8073	IncFIA,IncFIC,IncFIB,rep_cluster_2131	000136__AP014877_00014,CP003035,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017630_00031,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,NC_019072_00073	MOBF	NC_010600	conjugative	CP012634	0.000631368	Escherichia coli	AA337	AI278	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 25389419; 19482926; 15781495; 20851899; 16257053
AUSMDU00048768:AA377	15	161647	49.50416648623234	966fd413ecf32b035a7aff522c8453b2	IncFIA,IncFII,IncHI1B	000136__AP014877_00014,000121__CP024805,000138__CP021336_00001	MOBF	NC_017627_00068	MPF_F	NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,NC_008460_00107,NC_019112_00045,08-5333_00200	MOBP	AP014804	conjugative	CP021203	0.0117112	Escherichia coli	AA377	AI369	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AUSMDU00048768:AA172	3	33945	45.520695242303724	34d8544b366c269da96aa83eee39d860	IncFIB,IncFII	000095__NZ_CP014273_00094,KF954760	-	-	-	-	-	-	non-mobilizable	MG702490	0.0239063	Escherichia coli	AA172	AH831	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AUSMDU00048768:AA338	5	29704	53.31605171020738	be9d77855584d33951556a41a6dc5033	-	-	-	-	-	-	-	-	non-mobilizable	LS992188	0.0400373	Escherichia coli	AA338	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048768:AF135	2	4119	45.86064578781257	14b2f3067e058d2a2ea103c6fe9683f7	-	-	-	-	-	-	-	-	non-mobilizable	CP028821	0.0399018	Klebsiella pneumoniae	AF135	-	genus	Klebsiella	genus	Klebsiella	-	-	-
AUSMDU00048777:AC621	2	48002	44.2544060664139	2f7684b9e87bbd38f3c1ad1b5b4e7774	-	-	-	-	-	-	-	-	non-mobilizable	CP009073	0.00028831	Escherichia coli ATCC 25922	AC621	AL885	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048777:AB709	1	24296	39.21221600263418	bf6517d95ceed4e977b87a0e2602aa17	IncX1	000216__CP009767_00121	-	-	-	-	-	-	non-mobilizable	CP009074	2.38274e-05	Escherichia coli ATCC 25922	AB709	AK593	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	21625636; 22470007
AUSMDU00048777:AA671	1	3284	46.77222898903776	644ddbdf49041a67e0b27c46323b054c	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown	NC_017662	mobilizable	CP035488	0.0	Escherichia coli	AA671	AI949	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048777:AE233	1	2030	51.67487684729064	f8b38ecd6ab9f7de06d157b4975a16aa	rep_cluster_2358,rep_cluster_2373	CP000974_00005,LT985313_00005	-	-	-	-	MOBP	CP008720	mobilizable	CP011625	0.000167546	Klebsiella oxytoca	AE233	AN966	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048779:AA747	2	97031	45.702919685461346	beaa385cfaeff1be625b891e1b54b3d2	rep_cluster_488	001852__AP017612_00001	-	-	-	-	-	-	non-mobilizable	CP031136	0.00399629	Escherichia coli	AA747	AJ079	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048779:AA172	8	70909	50.05288468318549	7ba4ac0633d663dea07eb67c0a5f1882	IncFIA,IncFII,IncFII,IncFIB	000136__AP014877_00014,KF954760,000121__CP024805,000095__NZ_CP014273_00094	MOBF	NC_011980_00044	-	-	-	-	mobilizable	MG702490	0.00846101	Escherichia coli	AA172	AH831	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AUSMDU00048779:AA038	8	62128	47.56953386556786	f49ada13ce88db571e94a8a3ab7c6704	IncX3,rep_cluster_1195	000221__NC_025130_00012,000483__CP010949_00006	MOBP	NC_020552_00059	MPF_T	NC_017624_00009,NC_019083_00030,NC_019157_00030,NC_019157_00029,NC_023277_00163	-	-	conjugative	CP026476	0.00574147	Escherichia coli	AA038	AH615	class	Gammaproteobacteria	class	Gammaproteobacteria	family	Enterobacteriaceae	26842776; 22470007
AUSMDU00048779:AF190	4	20525	55.95127892813642	66c259a886324c01d694c231a7924480	-	-	-	-	-	-	-	-	non-mobilizable	CP019281	0.0531179	Escherichia coli	AF190	-	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048779:AA517	1	4512	52.03900709219858	5b6efe55887abadf34033283ddaf982d	rep_cluster_2335	KU302809_00001	MOBP,MOBP	MF168404_00021,NC_001848_00006	-	-	MOBP	KJ009324	mobilizable	CP042491	0.00502299	Enterobacter hormaechei	AA517	AI685	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AUSMDU00048779:AA514	1	3780	50.21164021164021	e288739ffc24162c651183032bd93eaa	rep_cluster_2335	EF088686_00008	MOBP	NC_001848_00006	-	-	MOBP	CP008720	mobilizable	CP012164	0.0333664	Enterobacter roggenkampii	AA514	-	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AUSMDU00048779:AA519	1	3226	52.38685678859269	66d07ebc37751f379f6542077b6be0ef	rep_cluster_2350,rep_cluster_2358	AY123047_00001,CP000974_00005	-	-	-	-	MOB_unknown	CP016722	mobilizable	NC_021293	0.0478612	Cronobacter sakazakii	AA519	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048779:AB687	1	1570	51.59235668789809	bd56cd012746f1f9e65216bf92c33b03	Col(MG828)	NC_008486	-	-	-	-	MOBP	NC_002145	mobilizable	CP023264	0.000705841	Escherichia coli	AB687	AK567	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AUSMDU00048786:AC621	2	47870	44.2239398370587	479ea1860106ef605bff19e82afbdb9f	-	-	-	-	-	-	-	-	non-mobilizable	CP009073	0.000312573	Escherichia coli ATCC 25922	AC621	AL885	genus	Escherichia	genus	Escherichia	-	-	-
AUSMDU00048786:AA671	1	3284	46.92448233861145	bc224f8ab8867bb3a0f1e35770a5e30b	rep_cluster_2350	CP041342_00001	MOBF	CP019897	-	-	MOB_unknown	NC_017662	mobilizable	CP035488	0.0	Escherichia coli	AA671	AI949	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AUSMDU00048786:AE233	1	2030	51.576354679802954	d18393b65c40334167b2583c8007a880	rep_cluster_2335,rep_cluster_2358	KU302809_00001,CP000974_00005	-	-	-	-	MOBP	CP008720	mobilizable	CP011625	0.000167546	Klebsiella oxytoca	AE233	AN966	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AUSMDU00048792:AA337	5	109577	50.8738147603968	a80487ea3212043c69cfb30b80e8a517	IncFIA,IncFIB,rep_cluster_2131	000136__AP014877_00014,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017630_00031,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_019072_00073,NC_013437_00116	MOBF	NC_010600	conjugative	CP012634	0.000680979	Escherichia coli	AA337	AI278	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AUSMDU00048792:AA860	8	190860	53.489992664780466	57767a9d9b224da02a8da7e1ab6a4eec	IncC	000092__CP025470	MOBH,MOBH	NC_012690_00071,NC_012885_00072	MPF_F	NC_023291_00077,NC_012885_00091,NC_016974_00085,NC_012885_00083,NC_014170_00023,NC_009140_00071,NC_012885_00088,NC_012885_00167,NC_008612_00190	MOBH	JQ319772	conjugative	CP024192	0.00299754	Klebsiella pneumoniae	AA860	AJ266	phylum	Pseudomonadota	class	Gammaproteobacteria	phylum	Pseudomonadota	23800906; 20138094; 19482926; 24567731; 28842132; 20851899; 22290972; 19949054
